Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2534_1156,42,0.0,0.0,0.0,71.39999999999999,19.204341736694676,9.501126760587454,0.29202053,0.34050357,0.2253938,,0.79295063,0.9993069,0.81733125,
2534_1156,43,7.969999999999999,5.858531951904297,3.2278196811676025,59.22500000000001,13.686196707471508,8.741822896438416,0.18368426,0.29927236,0.19057158,,0.94274545,0.993062,0.8410944,
2534_1156,44,5.2124999999999995,5.470983028411865,3.3339684009552,18.395,5.139440065235118,4.083741097989053,0.47732598,0.59746104,0.47501007,,0.8301236,0.9315468,0.7345097,
2534_1157,00,1.8825,5.397078514099121,2.1969051361083984,7.6875,6.15609756097561,5.7069084698429124,,,,,,,,
2534_1157,01,0.4525,2.70165753364563,1.2028729915618896,36.035000000000004,14.001595670875538,7.537312776949735,0.49275407,0.65319574,0.6485263,,0.8696207,0.9988899,0.986443,
2534_1157,02,1.5675000000000001,2.9457736015319824,1.4510383605957031,58.36,11.97776730637423,7.618667836785222,0.35893172,0.4782297,0.4795793,,0.8530805,0.9987953,0.97219133,
2534_1157,03,0.69,5.0217390060424805,2.4948277473449707,36.0475,11.032249115750052,7.6167383512402695,0.3875628,0.5205947,0.50661814,,0.87100697,0.999727,0.99127066,
2534_1157,04,1.3325,3.5103189945220947,1.8836679458618164,15.595,3.113337608207759,2.360125848822965,0.66652215,0.843286,0.7863502,,0.89496434,0.9933665,0.96810985,
2534_1157,10,3.4125,5.574358940124512,2.1578211784362793,22.677500000000002,8.010803660015434,5.492149127984549,,,,,,,,
2534_1157,11,0.0,0.0,0.0,55.02,13.097737186477644,7.587921487145708,0.38772905,0.39417318,0.23739487,,0.97206753,1.0,0.9260538,
2534_1157,12,0.0,0.0,0.0,14.7425,11.052399525182295,6.76947643345453,0.67278457,0.69444555,0.511616,,0.9918443,1.0,0.93682086,
